iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions,process_iteration
5,32,5,1,5676.0,23306.0,5739206.0,2005228.0,1588110.0
6,32,5,1,5977.0,22934.0,5742383.0,1850980.0,1533272.0
7,32,5,1,5778.0,22472.0,5848690.0,1994878.0,1761985.0
8,32,5,1,5515.0,22440.0,5914471.0,1895509.0,1630863.0
9,32,5,1,5675.0,22344.0,6540551.0,1929249.0,1563168.0
0,32,6,1,5704.0,25126.0,6384653.0,2126531.0,1714793.0
1,32,6,1,5504.0,25095.0,6369813.0,2094885.0,1720675.0
2,32,6,1,5586.0,24994.0,6284522.0,2206807.0,1797482.0
3,32,6,1,5805.0,25300.0,6664916.0,2228406.0,1737714.0
4,32,6,1,5764.0,26971.0,6607939.0,2150692.0,1758173.0
5,32,6,1,5785.0,26332.0,6466446.0,2210446.0,1714782.0
6,32,6,1,10529.0,26687.0,6384295.0,2088163.0,1726257.0
7,32,6,1,5652.0,25399.0,6415190.0,2168996.0,3499443.0
8,32,6,1,5559.0,25174.0,6327974.0,2140225.0,1708108.0
9,32,6,1,5695.0,25906.0,6294914.0,2098620.0,1806940.0
0,32,7,1,5556.0,30954.0,7634159.0,2632302.0,2069415.0
1,32,7,1,5646.0,30889.0,7629984.0,2540521.0,2133557.0
2,32,7,1,5501.0,31307.0,7573128.0,2721501.0,2062382.0
3,32,7,1,5769.0,31345.0,7623505.0,2633894.0,2072469.0
4,32,7,1,5716.0,31402.0,7524285.0,2611214.0,2107657.0
5,32,7,1,5620.0,31057.0,7548274.0,2578773.0,2075645.0
6,32,7,1,5669.0,32086.0,7630926.0,2572036.0,2135468.0
7,32,7,1,5696.0,30891.0,7517143.0,2483103.0,2141217.0
8,32,7,1,5951.0,31965.0,7638821.0,2527740.0,2121390.0
9,32,7,1,5648.0,31250.0,7673333.0,2612256.0,2085280.0
0,32,8,1,5942.0,106884.0,24562708.0,7585811.0,6077062.0
1,32,8,1,5963.0,107236.0,23594567.0,6831277.0,6183356.0
2,32,8,1,6019.0,106350.0,23746966.0,6693279.0,6180574.0
3,32,8,1,5749.0,109047.0,23734098.0,6807507.0,5975045.0
4,32,8,1,5924.0,106078.0,23901616.0,7418480.0,6025935.0
5,32,8,1,5866.0,106104.0,24006766.0,6936801.0,6090469.0
6,32,8,1,5953.0,105704.0,23779477.0,6661985.0,6255297.0
7,32,8,1,5779.0,111236.0,23922093.0,6715434.0,6014393.0
8,32,8,1,5872.0,105392.0,23749856.0,6680507.0,6028239.0
9,32,8,1,6034.0,106624.0,23829830.0,6888171.0,6192291.0
0,64,0,1,9616.0,28501.0,7139841.0,2025606.0,2779198.0
1,64,0,1,9210.0,25272.0,6923489.0,2044630.0,2783917.0
2,64,0,1,9739.0,26685.0,6969769.0,2078423.0,137725696.0
3,64,0,1,9538.0,25857.0,6944309.0,1942882.0,5604487.0
4,64,0,1,9276.0,25819.0,7056751.0,1990586.0,8356806.0
5,64,0,1,9433.0,26028.0,6961807.0,1993419.0,2773013.0
6,64,0,1,11542.0,26886.0,6913062.0,2056082.0,5601668.0
7,64,0,1,9393.0,26121.0,6914966.0,2038808.0,2792390.0
8,64,0,1,9539.0,25935.0,6989191.0,2268468.0,2776097.0
9,64,0,1,10189.0,26826.0,6973582.0,2057897.0,2884551.0
0,64,1,1,9410.0,27098.0,7194012.0,2066389.0,5805659.0
1,64,1,1,9809.0,27487.0,7196575.0,2094770.0,2925109.0
2,64,1,1,9454.0,27072.0,7157677.0,2185931.0,2955338.0
3,64,1,1,9254.0,26899.0,7188101.0,2028983.0,2892314.0
4,64,1,1,9394.0,27015.0,7187860.0,2212578.0,46625239.0
5,64,1,1,9430.0,27016.0,7139737.0,2094296.0,3006439.0
6,64,1,1,9413.0,27133.0,7186350.0,2103023.0,6035912.0
7,64,1,1,9456.0,27080.0,7166706.0,2107466.0,2887529.0
8,64,1,1,9433.0,27124.0,7186292.0,2083928.0,425676437.0
9,64,1,1,13724.0,36324.0,7188908.0,2132699.0,5713787.0
0,64,2,1,9463.0,28094.0,7483806.0,2205630.0,9033862.0
1,64,2,1,9253.0,27638.0,7621009.0,2147466.0,3022443.0
2,64,2,1,10837.0,29253.0,7581403.0,2276823.0,3007473.0
3,64,2,1,10301.0,29118.0,7565190.0,2176066.0,6217118.0
4,64,2,1,9462.0,28358.0,7561558.0,2318052.0,21102291.0
5,64,2,1,9535.0,28353.0,7615139.0,2253241.0,3018676.0
6,64,2,1,9354.0,28176.0,7468951.0,2269671.0,161422751.0
7,64,2,1,9426.0,28064.0,7541298.0,2264342.0,6022828.0
8,64,2,1,9812.0,28895.0,7934437.0,2370562.0,3117056.0
9,64,2,1,9701.0,28521.0,7614682.0,2292510.0,6175221.0
0,64,3,1,9460.0,29843.0,8122722.0,2572483.0,15908901.0
1,64,3,1,9514.0,32210.0,8133687.0,2340829.0,3258094.0
2,64,3,1,9784.0,30571.0,8352480.0,2252462.0,3281836.0
3,64,3,1,9489.0,30211.0,8146887.0,2392550.0,3185528.0
4,64,3,1,10195.0,32481.0,8255590.0,2394874.0,6450307.0
5,64,3,1,9874.0,31230.0,8087929.0,2317249.0,3221385.0
6,64,3,1,10272.0,31059.0,8098643.0,2270374.0,3197694.0
7,64,3,1,9529.0,29960.0,8038431.0,2846597.0,7803581.0
