iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions,process_iteration
2,32,0,2,12086.1,29981.4,11189880.8,2310.0,1868427.9
2,32,0,4,11954.8,29357.4,11260105.3,4452.2,1886898.3
2,32,0,8,12110.7,29292.8,11117481.9,6804.6,1876028.9
2,32,0,16,12076.9,30034.0,11208838.2,12961.0,1900168.0
2,32,0,32,12031.6,29249.6,11278036.3,24724.8,1923499.0
2,32,0,64,12137.2,29716.6,11097269.4,24838.8,1915309.5
2,32,0,128,11910.0,29424.4,11150675.7,23849.0,1915772.0
2,32,8,1,12871.2,317799.8,115654216.5,13280867.7,15366686.4
2,32,8,2,12734.6,314215.7,113855378.6,9072.8,15226397.6
2,32,8,4,12586.9,313150.7,115717961.2,16619.2,15208031.7
2,32,8,8,12606.4,314499.7,115865821.8,29688.2,15266796.9
2,32,8,16,12637.0,313733.3,115953419.3,52797.6,15348648.0
2,32,8,32,12686.1,314231.7,115399369.2,100104.9,15505735.0
2,32,8,64,12533.3,315646.4,115661741.2,105150.5,15429649.5
2,32,8,128,12695.4,314188.8,115522896.7,103645.0,15519987.7
2,64,0,1,23622.9,48194.7,18088855.8,3718335.1,5005078.7
2,64,0,2,23323.1,48238.0,17926361.2,3397.8,5150973.9
2,64,0,4,22826.8,48376.5,17742713.7,5629.6,4911650.0
2,64,0,8,22933.6,47814.9,17616439.5,7790.4,4879916.4
2,64,0,16,23004.3,47968.0,17805303.1,14799.0,4901101.1
2,64,0,32,22889.5,48311.2,17833584.3,25417.1,4991254.2
2,64,0,64,22790.9,48731.2,17758700.3,59853.4,5249006.1
2,64,0,128,23071.4,48145.9,17719290.0,61552.5,5543350.9
2,64,8,1,23784.1,460905.0,159407789.1,20888088.2,36811010.1
2,64,8,2,23570.4,458542.9,159598026.3,10441.4,37239484.4
2,64,8,4,23715.1,458119.7,158859830.1,17080.1,36600622.0
2,64,8,8,23682.8,456560.3,160566061.8,29964.9,37599220.2
2,64,8,16,23637.1,459809.2,160620605.9,54012.8,36592552.1
2,64,8,32,24027.3,458035.0,163180340.2,99146.4,41159622.5
2,64,8,64,23857.0,457575.7,159729767.6,175982.7,41422001.2
2,64,8,128,23775.3,462886.8,159047461.2,174769.9,38466483.6
2,128,0,1,44840.9,120920.4,45639856.3,7572224.7,38700575.2
2,128,0,2,44431.5,120488.2,45339026.3,4328.7,20339609.0
2,128,0,4,45033.4,121071.8,44851425.3,6500.8,20137686.8
2,128,0,8,45216.0,121920.1,45437770.8,10004.3,20396649.8
2,128,0,16,45206.9,121518.3,45507342.2,14332.8,21327357.3
2,128,0,32,46019.3,122765.7,45010623.7,30306.6,23337726.9
2,128,0,64,45034.5,120463.6,45050364.8,64080.9,27442155.0
2,128,0,128,44459.7,119524.9,44476855.3,172076.7,27293842.4
2,128,8,1,46480.3,752233.6,249749088.7,37144972.4,210046726.9
2,128,8,2,46027.1,741613.5,244120911.5,9439.4,107644365.3
2,128,8,4,46362.3,736595.7,246934724.8,15252.4,107957606.8
2,128,8,8,46128.3,744258.5,245644287.6,27272.0,109214184.6
2,128,8,16,46780.4,743785.7,246282019.4,46928.7,113999619.4
2,128,8,32,46011.7,745631.6,243808032.7,101616.3,133901620.9
2,128,8,64,45734.0,741111.8,243665850.4,160811.1,146302834.0
2,128,8,128,46206.1,743647.1,240561282.9,349977.1,145954856.2
